URL,Brand,Model,Hits,Became Fan,Launch Expected Year,Height (mm),Width (mm),Thickness (mm),Body_Weight (g),Display_Type,Pixels_X,Pixels_Y,Display Size (inches),Screen_to_Body_Ratio (%),RAM (GB),Main Camera_Single (MP),Selfie camera_Single (MP),Sound_3.5mm jack,Comms_Bluetooth,Comms_NFC,Battery_Capacity (mAh),Price in USD
https://www.gsmarena.com/oppo_find_5-5161.php,Oppo,Oppo Find 5,3988729,210,2012.0,141.8,68.8,8.9,165.0,IPS LCD,1080.0,1920.0,5.0,70.6,2.0,13.0,1.9,1.0,4.0,,2500.0,696.6
https://www.gsmarena.com/zte_blade_iii-4983.php,ZTE,ZTE Blade III,1209925,69,2012.0,123.0,63.5,10.0,130.0,"TFT, 65K colors",480.0,800.0,4.0,58.3,0.5,5.0,,1.0,2.1,,1600.0,245.1
https://www.gsmarena.com/sony_ericsson_z520-1202.php,Sony,Sony Ericsson Z520,1307942,27,2005.0,93.0,46.0,24.0,96.0,"TFT, 65K colors",128.0,160.0,1.8,23.8,0.015625,,,0.0,2.0,,900.0,86.8
https://www.gsmarena.com/micromax_x1i-3504.php,Micromax,Micromax X1i,116901,13,2010.0,106.0,44.5,16.0,82.0,"CSTN, 65K colors",128.0,128.0,1.46,14.6,,,,0.0,,,1800.0,26.6
https://www.gsmarena.com/celkon_ar50-5917.php,Celkon,Celkon AR50,92530,3,2013.0,144.3,73.4,9.8,140.0,TFT,540.0,960.0,5.0,65.1,0.5,5.0,,1.0,3.0,,2000.0,79.80000000000001
https://www.gsmarena.com/nokia_6030-1086.php,Nokia,Nokia 6030,2180030,61,2005.0,104.0,44.0,18.0,90.0,"CSTN, 65K colors",128.0,128.0,1.5,15.9,0.0029296875,,,0.0,,,900.0,62.0
https://www.gsmarena.com/blackberry_key2_le-9292.php,BlackBerry,BlackBerry KEY2 LE,2311228,116,2018.0,150.3,71.8,8.4,156.0,IPS LCD,1080.0,1620.0,4.5,55.6,4.0,,8.0,1.0,5.0,,3000.0,519.1999999999999
https://www.gsmarena.com/vivo_s7-10347.php,vivo,vivo S7,350222,39,2020.0,158.8,74.2,7.4,170.0,AMOLED,1080.0,2400.0,6.44,85.0,8.0,,,0.0,5.1,,4000.0,387.59999999999997
https://www.gsmarena.com/htc_one_me-7275.php,HTC,HTC One ME,3002852,223,2015.0,151.0,72.0,9.8,155.0,IPS LCD,1440.0,2560.0,5.2,68.6,3.0,20.0,4.0,1.0,4.1,,2840.0,377.40000000000003
https://www.gsmarena.com/xiaomi_poco_m2_pro-10318.php,Xiaomi,Xiaomi Poco M2 Pro,2397888,176,2020.0,165.8,76.7,8.8,209.0,"IPS LCD, HDR10, 450 nits (typ)",1080.0,2400.0,6.67,84.5,4.0,,16.0,1.0,5.0,,5000.0,193.79999999999998
https://www.gsmarena.com/samsung_galaxy_ace_2_i8160-4559.php,Samsung,Samsung Galaxy Ace 2 I8160,13045076,216,2012.0,118.3,62.2,10.5,122.0,PLS LCD,480.0,800.0,3.8,55.9,0.75,5.0,,1.0,3.0,,1500.0,167.70000000000002
https://www.gsmarena.com/lg_g_flex2-6916.php,LG,LG G Flex2,5088160,471,2015.0,149.1,75.3,9.4,152.0,Curved P-OLED,1080.0,1920.0,5.5,73.5,2.0,13.0,2.1,1.0,4.1,,3000.0,299.70000000000005
https://www.gsmarena.com/huawei_y8s-10227.php,Huawei,Huawei Y8s,886476,29,2020.0,162.4,77.1,8.1,180.0,IPS LCD,1080.0,2340.0,6.5,82.8,4.0,,,1.0,4.2,,4000.0,159.6
https://www.gsmarena.com/htc_one_vx-5016.php,HTC,HTC One VX,1028681,39,2012.0,133.5,67.6,9.2,124.7,Super LCD2,540.0,960.0,4.5,61.9,1.0,5.0,,1.0,4.0,,1800.0,374.1
https://www.gsmarena.com/energizer_e2-10950.php,Energizer,Energizer E2,34485,1,2021.0,116.0,50.0,13.9,74.3,"TFT LCD, 256K colors",128.0,160.0,1.77,17.0,,,,1.0,2.1,,800.0,11.799999999999999
https://www.gsmarena.com/lg_gd900_crystal-2788.php,LG,LG GD900 Crystal,1302742,32,2009.0,105.0,52.5,13.5,127.0,TFT,480.0,800.0,3.0,46.5,,8.0,,0.0,2.1,,1000.0,180.7
https://www.gsmarena.com/doogee_cr1-11793.php,Doogee,Doogee CR1,10888,0,2021.0,46.2,46.2,10.3,42.0,IPS LCD,240.0,240.0,1.28,,,,,0.0,5.0,,300.0,47.199999999999996
https://www.gsmarena.com/honor_x6a-12442.php,Honor,Honor X6a,919737,20,2023.0,163.3,75.1,8.4,188.0,"TFT LCD, 90Hz",720.0,1612.0,6.56,84.3,4.0,,5.0,1.0,5.1,,5200.0,162.0
https://www.gsmarena.com/xiaomi_redmi_y1_lite-8818.php,Xiaomi,Xiaomi Redmi Y1 Lite,1983976,72,2017.0,153.0,76.2,7.6,150.0,IPS LCD,720.0,1280.0,5.5,71.5,2.0,13.0,5.0,1.0,4.2,,3080.0,101.69999999999999
https://www.gsmarena.com/blu_studio_5_3_s-5458.php,BLU,BLU Studio 5.3 S,241054,14,2013.0,153.0,78.0,9.2,190.0,LED-backlit IPS LCD,540.0,960.0,5.3,64.9,1.0,8.0,2.0,1.0,3.0,,2800.0,172.9
https://www.gsmarena.com/samsung_m2510-2854.php,Samsung,Samsung M2510,205971,18,2009.0,99.5,46.5,15.7,90.5,"TFT, 256K colors",176.0,220.0,2.2,32.9,0.0146484375,1.3,,1.0,2.0,,800.0,166.79999999999998
https://www.gsmarena.com/razer_phone-8923.php,Razer,Razer Phone,2499274,384,2017.0,158.5,77.7,8.0,197.0,"IGZO IPS LCD, 120Hz, 380 nits (typ)",1440.0,2560.0,5.7,72.7,8.0,,8.0,0.0,4.2,,4000.0,847.4999999999999
https://www.gsmarena.com/samsung_galaxy_stratosphere_ii_i415-5124.php,Samsung,Samsung Galaxy Stratosphere II I415,572718,64,2012.0,126.2,65.5,13.5,154.0,Super AMOLED,480.0,800.0,4.0,55.1,1.0,5.0,1.3,1.0,4.0,,1800.0,219.3
